iter	Passed	Remaining
0	218	54480
1	383	47518
2	543	44741
3	702	43179
4	891	43692
5	1063	43235
6	1228	42658
7	1388	41995
8	1540	41240
9	1717	41222
10	1890	41073
11	2083	41321
12	2261	41232
13	2411	40647
14	2581	40441
15	2738	40045
16	2905	39825
17	3099	39952
18	3280	39881
19	3456	39749
20	3615	39425
21	3773	39105
22	3941	38905
23	4113	38737
24	4279	38517
25	4455	38387
26	4619	38154
27	4782	37918
28	4949	37720
29	5119	37539
30	5287	37355
31	5453	37152
32	5615	36929
33	5791	36793
34	5960	36612
35	6133	36459
36	6297	36254
37	6459	36037
38	6621	35826
39	6779	35590
40	6948	35420
41	7112	35223
42	7277	35035
43	7448	34870
44	7615	34693
45	7779	34501
46	7945	34317
47	8141	34264
48	8323	34145
49	8522	34090
50	8685	33890
51	8845	33680
52	9003	33466
53	9161	33252
54	9337	33104
55	9497	32901
56	9667	32733
57	9839	32571
58	10008	32401
59	10171	32210
60	10333	32018
61	10501	31843
62	10668	31667
63	10828	31470
64	10986	31268
65	11146	31074
66	11312	30899
67	11472	30706
68	11625	30495
69	11796	30333
70	11964	30164
71	12123	29971
72	12283	29782
73	12455	29623
74	12627	29464
75	12783	29267
76	12946	29087
77	13138	28971
78	13315	28822
79	13475	28635
80	13635	28449
81	13798	28270
82	13979	28126
83	14163	27989
84	14329	27815
85	14539	27726
86	14730	27597
87	14941	27506
88	15175	27452
89	15373	27331
90	15565	27197
91	15766	27077
92	15971	26962
93	16175	26843
94	16384	26732
95	16596	26624
96	16799	26498
97	16997	26364
98	17200	26234
99	17400	26100
100	17600	25964
101	17807	25838
102	18002	25693
103	18256	25629
104	18476	25515
105	18721	25432
106	18964	25345
107	19174	25210
108	19392	25085
109	19621	24973
110	19841	24846
111	20047	24701
112	20235	24533
113	20436	24380
114	20630	24218
115	20843	24077
116	21032	23908
117	21241	23761
118	21444	23607
119	21639	23443
120	21838	23282
121	22033	23117
122	22253	22977
123	22457	22820
124	22674	22674
125	22877	22514
126	23082	22355
127	23289	22197
128	23475	22020
129	23690	21867
130	23894	21705
131	24116	21558
132	24324	21398
133	24548	21251
134	24754	21086
135	24957	20920
136	25156	20749
137	25366	20586
138	25571	20420
139	25780	20255
140	25982	20085
141	26189	19918
142	26376	19736
143	26562	19552
144	26750	19370
145	26963	19206
146	27167	19035
147	27378	18868
148	27596	18706
149	27798	18532
150	27993	18353
151	28212	18189
152	28420	18018
153	28641	17854
154	28879	17700
155	29072	17518
156	29270	17338
157	29449	17148
158	29638	16962
159	29832	16780
160	30028	16599
161	30213	16412
162	30410	16231
163	30600	16046
164	30797	15865
165	30987	15680
166	31171	15492
167	31349	15301
168	31529	15111
169	31721	14927
170	31901	14738
171	32097	14555
172	32275	14365
173	32460	14178
174	32643	13990
175	32832	13804
176	33033	13623
177	33231	13441
178	33412	13252
179	33586	13061
180	33784	12879
181	33974	12693
182	34169	12510
183	34359	12324
184	34546	12138
185	34724	11948
186	34911	11761
187	35106	11577
188	35295	11391
189	35477	11203
190	35679	11021
191	35912	10848
192	36109	10664
193	36291	10475
194	36459	10283
195	36629	10091
196	36782	9895
197	36941	9701
198	37104	9509
199	37268	9317
200	37450	9129
201	37617	8938
202	37802	8752
203	38007	8570
204	38186	8382
205	38357	8192
206	38525	8002
207	38688	7812
208	38849	7621
209	39019	7432
210	39179	7241
211	39344	7052
212	39513	6863
213	39684	6675
214	39862	6489
215	40072	6307
216	40282	6125
217	40462	5939
218	40621	5750
219	40791	5562
220	40955	5374
221	41129	5187
222	41298	5000
223	41457	4812
224	41628	4625
225	41793	4438
226	41958	4251
227	42128	4065
228	42294	3878
229	42462	3692
230	42626	3506
231	42786	3319
232	42953	3133
233	43146	2950
234	43315	2764
235	43471	2578
236	43636	2393
237	43805	2208
238	43967	2023
239	44132	1838
240	44294	1654
241	44490	1470
242	44668	1286
243	44835	1102
244	45018	918
245	45197	734
246	45365	550
247	45539	367
248	45698	183
249	45867	0
